"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"LAST_DATE";"NEXT_DUE";"NOTE"
"12";"Idrico";"POT Bollate";"1831 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"14";"Idrico";"viale Piceno 60";"95 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"15";"Idrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"16";"Idrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Idrico";"via Fantoli 7 
Poliamb.";"1154 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"18";"Idrico";"via Monte Palombino 4";"9 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"19";"Idrico";"via Quarenghi 21";"590 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"20";"Idrico";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"21";"Idrico";"via Perini 22";"184 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"22";"Idrico";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"23";"Idrico";"via R. Sanzio 9";"303 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"24";"Idrico";"via Statuto 5";"638 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"26";"Idrico";"via Padova 118";"275 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"644 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"28";"Idrico";"C.so Plebisciti 4";"276 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"29";"Idrico";"via Serlio 8";"437 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Idrico";"via Fantoli 7
Consultorio";"601 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"31";"Idrico";"viale Puglie 33";"370 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"32";"Idrico";"via Natta 19";"395 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"33";"Idrico";"via Oglio 18";"98 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
