CODICE;SOTTOCATEGORIA;CATEGORIA;OPERAZIONE;QUANTITA;FREQ_DESCRIZIONE;NORMATIVA;COLONNA_C;COLONNA_D;NOTE
XX;ELEVATORI;Elevatori (1-5 piani);0;Via Polesine 6;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
XX;ELEVATORI;Elevatori (6-10 piani);0;Via Polesine 6;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
XX;ELEVATORI;Servoscala;0;Via Polesine 6;Semestrale;DPR 162/99;TBD;TBD;REALE
XX;MECCANICI;Caldaie (36-350 kW);0;Via Polesine 6;Mensile/Trimestrale;DPR 74/13;TBD;TBD;REALE
XX;MECCANICI;Caldaie (>350 kW);0;Via Polesine 6;Settimanale;DPR 74/13;TBD;TBD;REALE
XX;MECCANICI;Gruppi Frigo / Chiller;0;Via Polesine 6;Mensile / Trimestrale;Reg. (UE) 517;TBD;TBD;REALE
XX;MECCANICI;UTA (Trattamento Aria);2;Via Polesine 6;Trimestrale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Addolcitori;0;Via Polesine 6;Settimanale/Mensile;DM 25/12;TBD;TBD;REALE
XX;MECCANICI;Produttori Biossido Cloro;0;Via Polesine 6;Settimanale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Pompe Sollevamento;0;Via Polesine 6;Mensile;D.Lgs 81/08;TBD;TBD;REALE
XX;MECCANICI;Distribuzione impianti idronici e sottocentrali;82 m2;Via Polesine 6;Annuale;Norme Tecniche;TBD;TBD;REALE
XX;MECCANICI;Ventilconvettori;0;Via Polesine 6;Annuale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Condizionatori tipo split/VRV/carrellabili;0;Via Polesine 6;Annuale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Canali di distribuzione; ripresa; serrande;0;Annuale;TBD;TBD;REALE
XX;MECCANICI;Distribuzione idrico sanitaria;82 m2;Via Polesine 6;Annuale;D.Lgs 31/01;TBD;TBD;REALE
XX;MECCANICI;Centrali idriche (Vasche);0;Via Polesine 6;Mensile;D.Lgs 31/01;TBD;TBD;REALE
XX;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Via Polesine 6;Annuale;Linee Guida;TBD;TBD;REALE
XX;EDILE;Cancelli e sbarre motorizzati;0;Via Polesine 6;Semestrale;D.Lgs 81/08;TBD;TBD;REALE
XX;EDILE;Porte automatiche e portoni sezionali;0;Via Polesine 6;Semestrale;D.Lgs 81/08;TBD;TBD;REALE
