"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"11b";"Elettrico";"Via Adriano 99 e  7";"650 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"650";"REALE"
"12";"Elettrico";"POT Bollate";"295 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"295";"REALE"
"14";"Elettrico";"viale Piceno 60";"6 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"6";"REALE"
"15";"Elettrico";"via Clericetti 22";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"82";"REALE"
"17";"Elettrico";"via Fantoli 7 ";"1 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"2 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"2";"REALE"
"01";"Idrico";"Via A. Doria 52";"4 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4";"REALE"
"02";"Idrico";"Via Don Orione 2";"075 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"075";"REALE"
"03";"Idrico";"Via Farini 9";"2 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"2";"REALE"
